rumTree$tip.label,species name
KillerWhale,Orcinus orca
LesserMouseDeer,Tragulus javanicus
Pronghorn,Antilocapra americana
Okapi,Okapia johnstoni
Giraffe,Giraffa camelopardalis
RoeDeer,Capreolus capreolus
WhiteTailedDeer,Odocoileus virginianus
Reindeer,Rangifer tarandus
MuntiacusReevesi,Muntiacus reevesi
MuntiacusCrinifrons,Muntiacus crinifrons
MuntiacusMuntjak,Muntiacus muntjak
Daviddeer,Elaphurus davidianus
WhiteLippedDeer,Cervus albirostris
ForestMuskDeer,Moschus berezovskii
LesserKudu,Tragelaphus imberbis
Bushbuck,Tragelaphus scriptus
Sitatunga,Tragelaphus spekei
MountainNyala,Tragelaphus buxtoni
Bongo,Tragelaphus eurycerus
GreaterKudu,Tragelaphus strepsiceros
CommonEland,Tragelaphus oryx
AfricanBuffalo,Syncerus caffer
Cattle,Bos taurus
Yak,Bos grunniens
Suni,Neotragus moschatus
Impala,Aepyceros melampus
Klipspringer,Oreotragus oreotragus
RoyalAntelope,Neotragus pygmaeus
MaxwellsDuiker,Philantomba maxwellii
HarveysDuiker,Cephalophus harveyi
CommonDuiker,Sylvicapra grimmia
KirksDik,Madoqua kirkii
Steenbok,Raphicerus campestris
GazellaPrzewalskyi,Procapra przewalskii
Oribi,Ourebia ourebi
ThomsonGazelle,Eudorcas thomsonii
GyrantGazelle,Nanger granti
Gerenuk,Litocranius walleri
Springbuck,Antidorcas marsupialis
DefassaWaterbuck,Kobus ellipsiprymnus
BohorReedbuck,Redunca redunca
Gemsbok,Oryx gazella
BlueWildebeest,Connochaetes taurinus
Hartebeest,Alcelaphus buselaphus
Topi,Damaliscus lunatus
TibetanAntelope,Pantholops hodgsonii
Ibex,Capra ibex
goat,Capra hircus
BlueSheep,Pseudois nayaur
BarbarySheep,Ammotragus lervia
Sheep,Ovis aries
Argali,Ovis ammon
