model,turnover0A,turnover1A,turnover0B,turnover1B,turnover0C,turnover1C,turnover0D,turnover1D,eps0A,tree,sdratio,modelType
chen-sd20-bisse-equal,2.061153622438558e-9,0.14739874492174043,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,chen,0.2,bisse
chen-sd20-bisse,2.061153622438558e-9,0.14272721220043852,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,chen,0.2,bisse
chen-sd20-cid2-equal,2.061153622438558e-9,2.061153622438558e-9,0.1354230701264851,0.1354230701264851,NA,NA,NA,NA,2.061153622438558e-9,chen,0.2,cid2
chen-sd20-cid2,0.1012872571443298,0.1012872571443298,0.10113279483172204,0.10113279483172204,NA,NA,NA,NA,4.20673641734501e-9,chen,0.2,cid2
chen-sd20-cid4-equal,2.061153622438558e-9,2.061153622438558e-9,0.020420435910098043,0.020420435910098043,0.17940331622954683,0.17940331622954683,0.020421331620612843,0.020421331620612843,2.061153622438558e-9,chen,0.2,cid4
chen-sd20-cid4,0.01971959576513287,0.01971959576513287,0.01960146747798954,0.01960146747798954,2.061153622438558e-9,2.061153622438558e-9,0.17608593159616537,0.17608593159616537,2.061153622438558e-9,chen,0.2,cid4
chen-sd20-hisse-equal,2.061153622438558e-9,0.0379019563491299,0.02460356199465269,0.17849695211837868,NA,NA,NA,NA,2.061153622438558e-9,chen,0.2,hisse
chen-sd20-hisse,2.061153622438558e-9,0.14858151251121263,2.061153622438558e-9,0.4132218832379361,NA,NA,NA,NA,2.061153622438558e-9,chen,0.2,hisse
chen-sd20-null-equal,0.10121507497996773,0.10121507497996773,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,chen,0.2,null
chen-sd20-null,0.10120591990186201,0.10120591990186201,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,chen,0.2,null
chen-sd10-bisse-equal,2.061153622438558e-9,0.1392080391421355,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,chen,0.1,bisse
chen-sd10-bisse,2.061153622438558e-9,0.13700345037909092,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,chen,0.1,bisse
chen-sd10-cid2-equal,2.061153622438558e-9,2.061153622438558e-9,0.1344946687352292,0.1344946687352292,NA,NA,NA,NA,2.061153622438558e-9,chen,0.1,cid2
chen-sd10-cid2,2.061153622438558e-9,2.061153622438558e-9,0.15115815577056105,0.15115815577056105,NA,NA,NA,NA,2.061153622438558e-9,chen,0.1,cid2
chen-sd10-cid4-equal,2.061153622438558e-9,2.061153622438558e-9,0.019910317836653393,0.019910317836653393,0.17724005840847792,0.17724005840847792,0.01991743620483846,0.01991743620483846,2.061153622438558e-9,chen,0.1,cid4
chen-sd10-cid4,0.01985286733662134,0.01985286733662134,0.019846859737907237,0.019846859737907237,2.061153622438558e-9,2.061153622438558e-9,0.1770730387013185,0.1770730387013185,2.061153622438558e-9,chen,0.1,cid4
chen-sd10-hisse-equal,2.061153622438558e-9,0.16915959227216243,2.061153622438558e-9,0.03458017764241827,NA,NA,NA,NA,2.061153622438558e-9,chen,0.1,hisse
chen-sd10-hisse,2.0716585545038936e-9,0.14483681484809557,4.109305848899793e-9,2.3380107782662026e-9,NA,NA,NA,NA,2.828165607339344e-9,chen,0.1,hisse
chen-sd10-null-equal,0.10121507497996773,0.10121507497996773,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,chen,0.1,null
chen-sd10-null,0.10121469838030071,0.10121469838030071,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,chen,0.1,null
bibi-sd20-bisse-equal,0.10983977019278911,0.16547898159466368,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.2,bisse
bibi-sd20-bisse,0.09131959357294954,0.173046592350816,NA,NA,NA,NA,NA,NA,2.0615471923027487e-9,bibi,0.2,bisse
bibi-sd20-cid2-equal,0.010693459804584929,0.010693459804584929,0.1895050336750957,0.1895050336750957,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.2,cid2
bibi-sd20-cid2,0.13929193436772305,0.13929193436772305,0.13935304352017422,0.13935304352017422,NA,NA,NA,NA,2.0636522270313094e-9,bibi,0.2,cid2
bibi-sd20-cid4-equal,0.019488409720180087,0.019488409720180087,0.019490978351279244,0.019490978351279244,0.0194875725577135,0.0194875725577135,0.2454090679051835,0.2454090679051835,2.061153622438558e-9,bibi,0.2,cid4
bibi-sd20-cid4,0.019610068604785338,0.019610068604785338,0.01941542366358723,0.01941542366358723,0.0196044088510928,0.0196044088510928,0.24579311873272908,0.24579311873272908,2.061153622438558e-9,bibi,0.2,cid4
bibi-sd20-hisse-equal,0.012297742685987953,0.006839172554826552,0.17362357990152932,0.20560917013743008,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.2,hisse
bibi-sd20-hisse,2.061153622438558e-9,0.0015064432199241018,0.14271156126662554,0.25982161982584073,NA,NA,NA,NA,2.0612173368491617e-9,bibi,0.2,hisse
bibi-sd20-null-equal,0.13933423705486875,0.13933423705486875,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.2,null
bibi-sd20-null,0.13933370049675528,0.13933370049675528,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.2,null
bibi-sd10-bisse-equal,0.10785146290949325,0.1593514642418017,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.1,bisse
bibi-sd10-bisse,0.1011054315776421,0.16184967268473133,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.1,bisse
bibi-sd10-cid2-equal,0.012711538655788841,0.012711538655788841,0.18493142613087757,0.18493142613087757,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.1,cid2
bibi-sd10-cid2,0.1392367097771783,0.1392367097771783,0.13945569897568583,0.13945569897568583,NA,NA,NA,NA,2.7162722828532867e-9,bibi,0.1,cid2
bibi-sd10-cid4-equal,0.01927527985780449,0.01927527985780449,0.019282618870517913,0.019282618870517913,0.23794878406980527,0.23794878406980527,0.01927685721832544,0.01927685721832544,2.061153622438558e-9,bibi,0.1,cid4
bibi-sd10-cid4,0.01954405452487385,0.01954405452487385,0.019420030635191335,0.019420030635191335,0.2450506111276579,0.2450506111276579,0.01943019956357623,0.01943019956357623,2.061153622438558e-9,bibi,0.1,cid4
bibi-sd10-hisse-equal,0.02007463327229362,2.721903495995509e-4,0.158641198293475,0.20029511640635736,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.1,hisse
bibi-sd10-hisse,0.022644349876778665,2.061153622438558e-9,0.22083647393407654,0.18304670832337255,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.1,hisse
bibi-sd10-null-equal,0.13933423705486875,0.13933423705486875,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.1,null
bibi-sd10-null,0.1393345632611187,0.1393345632611187,NA,NA,NA,NA,NA,NA,2.061153622438558e-9,bibi,0.1,null
