species,bibiOriginal,mkg,fkg,sdratio,sd20,sd15,sd10
Addax_nasomaculatus,Addax_nasomaculatus,117.7,84.7,0.32608695652173914,dimorphic,dimorphic,dimorphic
Aepyceros_melampus,Aepyceros_melampus,56.9,43.8,0.26017874875868924,dimorphic,dimorphic,dimorphic
Alcelaphus_buselaphus,Alcelaphus_buselaphus_buselaphus,152.1,144.6,0.05055611729019212,monomorphic,monomorphic,monomorphic
Alcelaphus_lichtensteini,Alcelaphus_buselaphus_lichtensteinii,178.3,162.7,0.09149560117302066,monomorphic,monomorphic,monomorphic
Alces_alces,Alces_alces,510.2,358.8,0.34844649021864205,dimorphic,dimorphic,dimorphic
Ammotragus_lervia,Ammotragus_lervia_FJ207522,111.8,51.6,0.7368421052631579,dimorphic,dimorphic,dimorphic
Antidorcas_marsupialis,Antidorcas_marsupialis,40.7,35.5,0.136482939632546,monomorphic,monomorphic,dimorphic
Antilocapra_americana,Antilocapra_americana,56.2,49.8,0.12075471698113219,monomorphic,monomorphic,dimorphic
Antilope_cervicapra,Antilope_cervicapra,40.2,34.4,0.15549597855227895,monomorphic,dimorphic,dimorphic
Arabitragus_jayakari,Arabitragus_jayakari_FJ207523,40,18,0.7586206896551724,dimorphic,dimorphic,dimorphic
Axis_axis,Axis_axis,44.1,30.6,0.3614457831325301,dimorphic,dimorphic,dimorphic
Bison_bison,Bison_bison,795.3,452.8,0.5488342280266004,dimorphic,dimorphic,dimorphic
Bison_bonasus,Bison_bonasus,718,423,0.5170902716914987,dimorphic,dimorphic,dimorphic
Bos_gaurus,Bos_gaurus,848.4,701.9,0.18899567825582145,monomorphic,dimorphic,dimorphic
Bos_grunniens,Bos_grunniens_NC006380,590.5,306,0.6346904629113218,dimorphic,dimorphic,dimorphic
Bos_javanicus,Bos_javanicus_birmanicus,750,450,0.5,dimorphic,dimorphic,dimorphic
Bos_taurus,Bos_taurus_indicus_EU177868,384,327.5,0.15881939564300773,monomorphic,dimorphic,dimorphic
Boselaphus_tragocamelus,Boselaphus_tragocamelus,253.3,136.3,0.6006160164271047,dimorphic,dimorphic,dimorphic
Bubalus_bubalis,Bubalus_bubalis_bubalis_AF547270,1200,800,0.4,dimorphic,dimorphic,dimorphic
Bubalus_depressicornis,Bubalus_depressicornis,156,145,0.07308970099667775,monomorphic,monomorphic,monomorphic
Budorcas_taxicolor,Budorcas_taxicolor_FJ207524,282.7,160,0.5543257284843008,dimorphic,dimorphic,dimorphic
Capra_caucasica,Capra_caucasica,86.3,55,0.44302901627742386,dimorphic,dimorphic,dimorphic
Capra_falconeri,Capra_falconeri_FJ207525,92.7,36.3,0.8744186046511628,dimorphic,dimorphic,dimorphic
Capra_hircus,Capra_hircus,53,38.6,0.314410480349345,dimorphic,dimorphic,dimorphic
Capra_ibex,Capra_ibex_FJ207526,80.5,48.9,0.4884080370942813,dimorphic,dimorphic,dimorphic
Capra_nubiana,Capra_nubiana_FJ207527,62.5,26.5,0.8089887640449438,dimorphic,dimorphic,dimorphic
Capra_pyrenaica,Capra_pyrenaica_FJ207528,72.5,40,0.5777777777777777,dimorphic,dimorphic,dimorphic
Capra_sibirica,Capra_sibirica_FJ207529,90,35,0.88,dimorphic,dimorphic,dimorphic
Capricornis_crispus,Capricornis_crispus_FJ207533,37.5,37.5,0,monomorphic,monomorphic,monomorphic
Capricornis_milneedwardsii,Capricornis_milneedwardsii_FJ207534,112.5,112.5,0,monomorphic,monomorphic,monomorphic
Capricornis_swinhoei,Capricornis_swinhoei_NC010640,23.5,23.5,0,monomorphic,monomorphic,monomorphic
Cephalophus_adersi,Cephalophus_adersi,9.45,8.45,0.111731843575419,monomorphic,monomorphic,dimorphic
Cephalophus_callipygus,Cephalophus_callipygus_1,18.6,18.4,0.010810810810810964,monomorphic,monomorphic,monomorphic
Cephalophus_dorsalis,Cephalophus_dorsalis,20.3,19.5,0.04020100502512566,monomorphic,monomorphic,monomorphic
Cephalophus_jentinki,Cephalophus_jentinki,70.3,80.5,-0.13527851458885945,monomorphic,monomorphic,monomorphic
