model,AIC,AICc,AICweights,AICcorrWeights,deltaAIC,deltaAICc,modelType,sdratio,transRates
bisse_sd10,781.791962108917,782.352709772469,5.08306518640964e-6,5.92302679629177e-6,23.931667899920058,23.699962733282973,bisse,0.10,vary
bisse_sd20,790.094114451374,790.654862114925,8.00453677278363e-8,9.32726299160223e-8,32.23382024237708,32.00211507573897,bisse,0.2,vary
cid2_sd10,786.097407696871,786.88986052706,5.90486602974839e-7,6.1279318855298e-7,28.237113487874012,28.237113487874012,cid2,0.10,vary
cid2_sd20,799.50796092353,800.300413753718,7.23011850991658e-10,7.50324791957472e-10,41.6476667145331,41.647666714531965,cid2,0.2,vary
cid4_sd10,761.025361662596,762.409977047212,0.164261456770211,0.126780682608551,3.165067453599022,3.7572300080259993,cid4,0.10,vary
cid4_sd20,774.437079187417,775.821694572032,2.01010254371125e-4,1.55144230189923e-4,16.57678497842005,17.168947532846005,cid4,0.2,vary
eq_bisse_sd10,780.906619345053,781.276989715423,7.91362410776479e-6,1.01422273105542e-5,23.046325136055998,22.62424267623703,bisse,0.10,equal
eq_bisse_sd20,796.102344949698,796.472715320068,3.96885770425776e-9,5.08655155358344e-9,38.242050740701075,37.819968280881994,bisse,0.2,equal
eq_cid2_sd10,764.561302501178,764.931672871548,0.0280359884780122,0.0359313715369773,6.701008292181086,6.278925832362006,cid2,0.10,equal
eq_cid2_sd20,777.931624567471,778.301994937842,3.50257404811349e-5,4.4889549572059e-5,20.07133035847403,19.64924789865597,cid2,0.2,equal
eq_cid4_sd10,757.860294208997,758.652747039186,0.799505277903363,0.829707881674353,0,0,cid4,0.10,equal
eq_cid4_sd20,772.142841313222,772.93529414341,6.33002809565993e-4,6.56915513548863e-4,14.282547104225046,14.282547104224022,cid4,0.2,equal
eq_hisse_sd10,767.795365198569,768.587818028757,0.00556478104517563,0.00577499964113101,9.935070989572068,9.935070989571045,hisse,0.10,equal
eq_hisse_sd20,781.594635415075,782.387088245264,5.61015197788906e-6,5.82208453414131e-6,23.734341206078057,23.734341206077943,hisse,0.2,equal
eq_null_sd10,780.782958760206,781.003142246445,8.4183692787079e-6,1.16305047282249e-5,22.922664551209095,22.350395207258998,null,0.10,equal
eq_null_sd20,795.214338634522,795.434522120761,6.18719280483553e-9,8.54799460426184e-9,37.3540444255251,36.781775081575006,null,0.2,equal
hisse_sd10,770.139319443867,772.296182188965,0.00172371270913582,9.04254993564736e-4,12.279025234870005,13.643435149778952,hisse,0.10,vary
hisse_sd20,780.969372614668,783.126235359766,7.6691762442439e-6,4.02322897466039e-6,23.109078405671085,24.47348832058003,hisse,0.2,vary
null_sd10,782.097402734978,782.467773105348,4.36314945977617e-6,5.59188217792045e-6,24.237108525981057,23.815026066161977,null,0.10,vary
null_sd20,795.507952947984,795.878323318354,5.34239643138944e-9,6.84690076915334e-9,37.64765873898705,37.22557627916797,null,0.2,vary
