model,AICc,AICcWeights,deltaAICc,modelType,transRates
chen-sd20-bisse-equal,383.977189279613,0.328618373686964,0.8534758269570375,bisse,equal
chen-sd20-bisse,383.123713452656,0.503525840491764,0,bisse,vary
chen-sd20-cid2-equal,386.665680891698,0.0856827321142456,3.5419674390420255,cid2,equal
chen-sd20-cid2,399.406769546438,1.46622647815268e-4,16.283056093782022,cid2,vary
chen-sd20-cid4-equal,389.363214380337,0.0222398242902428,6.239500927681036,cid4,equal
chen-sd20-cid4,394.713177679839,0.00153250387746458,11.589464227183043,cid4,vary
chen-sd20-hisse-equal,388.018595821683,0.0435623762625848,4.894882369027016,hisse,equal
chen-sd20-hisse,391.559005199196,0.00741859109153744,8.435291746540031,hisse,vary
chen-sd20-null-equal,392.17529211052903,0.00545125416182367,9.051578657873051,null,equal
chen-sd20-null,394.367244137804,0.00182188137555749,11.243530685148016,null,vary
