model,tree,sdratio,modelType,rateParam,rateEstimate
chen-sd20-bisse-equal,chen,0.2,bisse,turnover0A,2.061153622438558e-9
chen-sd20-bisse-equal,chen,0.2,bisse,turnover1A,0.14739874492174043
chen-sd20-bisse-equal,chen,0.2,bisse,turnover0B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,turnover1B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,turnover0C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,turnover1C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,turnover0D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,turnover1D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,eps0A,2.061153622438558e-9
chen-sd20-bisse-equal,chen,0.2,bisse,q0A1A,0.0839038410128988
chen-sd20-bisse-equal,chen,0.2,bisse,q1A0A,0.0839038410128988
chen-sd20-bisse-equal,chen,0.2,bisse,q0A0B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0A0C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0A0D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1A1B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1A1C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1A1D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0B1B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1B0B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0B0A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0B0C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0B0D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1B1A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1B1C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1B1D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0C1C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1C0C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0C0A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0C0B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0C0D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1C1A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1C1B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1C1D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0D1D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1D0D,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0D0A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0D0B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q0D0C,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1D1A,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1D1B,NA
chen-sd20-bisse-equal,chen,0.2,bisse,q1D1C,NA
chen-sd20-bisse,chen,0.2,bisse,turnover0A,2.061153622438558e-9
chen-sd20-bisse,chen,0.2,bisse,turnover1A,0.14272721220043852
chen-sd20-bisse,chen,0.2,bisse,turnover0B,NA
chen-sd20-bisse,chen,0.2,bisse,turnover1B,NA
chen-sd20-bisse,chen,0.2,bisse,turnover0C,NA
chen-sd20-bisse,chen,0.2,bisse,turnover1C,NA
chen-sd20-bisse,chen,0.2,bisse,turnover0D,NA
chen-sd20-bisse,chen,0.2,bisse,turnover1D,NA
chen-sd20-bisse,chen,0.2,bisse,eps0A,2.061153622438558e-9
chen-sd20-bisse,chen,0.2,bisse,q0A1A,2.061153622438558e-9
chen-sd20-bisse,chen,0.2,bisse,q1A0A,0.06117123423293767
chen-sd20-bisse,chen,0.2,bisse,q0A0B,NA
chen-sd20-bisse,chen,0.2,bisse,q0A0C,NA
chen-sd20-bisse,chen,0.2,bisse,q0A0D,NA
chen-sd20-bisse,chen,0.2,bisse,q1A1B,NA
chen-sd20-bisse,chen,0.2,bisse,q1A1C,NA
chen-sd20-bisse,chen,0.2,bisse,q1A1D,NA
chen-sd20-bisse,chen,0.2,bisse,q0B1B,NA
chen-sd20-bisse,chen,0.2,bisse,q1B0B,NA
chen-sd20-bisse,chen,0.2,bisse,q0B0A,NA
chen-sd20-bisse,chen,0.2,bisse,q0B0C,NA
chen-sd20-bisse,chen,0.2,bisse,q0B0D,NA
chen-sd20-bisse,chen,0.2,bisse,q1B1A,NA
chen-sd20-bisse,chen,0.2,bisse,q1B1C,NA
chen-sd20-bisse,chen,0.2,bisse,q1B1D,NA
chen-sd20-bisse,chen,0.2,bisse,q0C1C,NA
chen-sd20-bisse,chen,0.2,bisse,q1C0C,NA
chen-sd20-bisse,chen,0.2,bisse,q0C0A,NA
chen-sd20-bisse,chen,0.2,bisse,q0C0B,NA
chen-sd20-bisse,chen,0.2,bisse,q0C0D,NA
chen-sd20-bisse,chen,0.2,bisse,q1C1A,NA
chen-sd20-bisse,chen,0.2,bisse,q1C1B,NA
chen-sd20-bisse,chen,0.2,bisse,q1C1D,NA
chen-sd20-bisse,chen,0.2,bisse,q0D1D,NA
chen-sd20-bisse,chen,0.2,bisse,q1D0D,NA
chen-sd20-bisse,chen,0.2,bisse,q0D0A,NA
chen-sd20-bisse,chen,0.2,bisse,q0D0B,NA
chen-sd20-bisse,chen,0.2,bisse,q0D0C,NA
chen-sd20-bisse,chen,0.2,bisse,q1D1A,NA
chen-sd20-bisse,chen,0.2,bisse,q1D1B,NA
chen-sd20-bisse,chen,0.2,bisse,q1D1C,NA
chen-sd20-cid2-equal,chen,0.2,cid2,turnover0A,2.061153622438558e-9
chen-sd20-cid2-equal,chen,0.2,cid2,turnover1A,2.061153622438558e-9
chen-sd20-cid2-equal,chen,0.2,cid2,turnover0B,0.1354230701264851
